step,PNA,PRD,ABS,PRI,PAN,
0.02,48,678,51,711,512,
0.0201,48,679,51,713,519,
0.0202,48,682,52,714,524,
0.0203,48,687,52,718,525,
0.0204,48,690,53,721,528,
0.0205,48,694,53,724,531,
0.0206,48,696,53,725,538,
0.0207,48,702,53,727,540,
0.0208,49,703,53,730,545,
0.0209,49,704,53,736,548,
0.021,49,707,54,739,551,
0.0211,49,709,54,743,555,
0.0212,49,715,54,745,557,
0.0213,49,719,54,749,559,
0.0214,49,721,54,755,561,
0.0215,49,724,55,759,563,
0.0216,49,731,55,761,564,
0.0217,49,734,55,765,567,
0.0218,49,737,55,769,570,
0.0219,49,740,55,774,572,
0.022,49,743,55,778,575,
0.0221,49,744,55,779,583,
0.0222,51,746,55,782,586,
0.0223,51,752,55,785,587,
0.0224,51,756,55,790,588,
0.0225,52,757,55,793,593,
0.0226,52,763,55,796,594,
0.0227,52,767,56,799,596,
0.0228,53,767,56,805,599,
0.0229,53,770,56,810,601,
0.023,53,775,57,814,601,
0.0231,53,776,57,819,605,
0.0232,53,780,57,822,608,
0.0233,53,785,57,825,610,
0.0234,54,788,57,830,611,
0.0235,54,792,57,835,612,
0.0236,54,798,58,838,612,
0.0237,54,802,58,841,615,
0.0238,54,805,60,844,617,
0.0239,55,808,60,848,619,
0.024,55,812,61,850,622,
0.0241,55,817,61,855,622,
0.0242,56,821,61,858,624,
0.0243,56,825,61,862,626,
0.0244,56,826,61,865,632,
0.0245,57,829,61,870,633,
0.0246,57,832,62,875,634,
0.0247,57,835,62,878,638,
0.0248,57,838,62,880,643,
0.0249,57,842,63,884,644,
0.025,57,844,65,888,646,
0.0251,57,846,66,891,650,
0.0252,57,852,66,894,651,
0.0253,57,855,67,897,654,
0.0254,57,861,68,898,656,
0.0255,57,864,68,902,659,
0.0256,58,865,68,907,662,
0.0257,60,866,68,910,666,
0.0258,60,869,68,916,667,
0.0259,60,872,68,918,672,
0.026,60,876,68,923,673,
0.0261,60,881,68,926,675,
0.0262,60,887,69,926,678,
0.0263,61,892,69,929,679,
0.0264,62,895,69,932,682,
0.0265,62,896,70,937,685,
0.0266,62,900,70,938,690,
0.0267,63,902,70,940,695,
0.0268,63,905,71,945,696,
0.0269,64,910,71,948,697,
0.027,64,914,71,951,700,
0.0271,64,916,72,953,705,
0.0272,64,919,72,957,708,
0.0273,64,921,73,963,709,
0.0274,64,923,73,967,713,
0.0275,64,926,73,971,716,
0.0276,64,930,74,972,720,
0.0277,64,933,74,976,723,
0.0278,64,937,75,981,723,
0.0279,64,940,75,986,725,
0.028,64,940,75,994,727,
0.0281,64,945,75,994,732,
0.0282,64,949,75,997,735,
0.0283,64,953,75,1000,738,
0.0284,64,955,75,1003,743,
0.0285,64,959,75,1006,746,
0.0286,64,960,77,1011,748,
0.0287,64,966,78,1014,748,
0.0288,64,971,78,1015,752,
0.0289,64,976,78,1018,754,
0.029,64,979,78,1020,759,
0.0291,64,980,79,1023,764,
0.0292,64,982,81,1027,766,
0.0293,64,985,81,1033,767,
0.0294,66,988,83,1035,768,
0.0295,66,990,84,1039,771,
0.0296,66,994,84,1041,775,
0.0297,67,997,84,1043,779,
0.0298,67,1001,85,1044,783,
0.0299,67,1003,85,1049,786,
0.03,67,1006,85,1053,789,
0.0301,68,1009,85,1055,793,
0.0302,68,1011,85,1060,796,
0.0303,69,1014,85,1066,796,
0.0304,69,1018,85,1071,797,
0.0305,69,1022,85,1074,800,
0.0306,69,1025,85,1077,804,
0.0307,69,1028,86,1081,806,
0.0308,69,1032,86,1087,806,
0.0309,70,1033,86,1092,809,
0.031,70,1038,86,1094,812,
0.0311,70,1045,86,1097,812,
0.0312,70,1050,86,1100,814,
0.0313,70,1051,87,1106,816,
0.0314,70,1054,87,1110,819,
0.0315,70,1056,87,1117,820,
0.0316,70,1060,88,1121,821,
0.0317,70,1063,88,1125,824,
0.0318,72,1066,88,1129,825,
0.0319,72,1072,89,1131,826,
0.032,72,1075,89,1136,828,
0.0321,72,1078,89,1140,831,
0.0322,72,1083,90,1142,833,
0.0323,72,1088,90,1145,835,
0.0324,72,1090,91,1151,836,
0.0325,72,1090,91,1157,840,
0.0326,73,1093,91,1163,840,
0.0327,73,1096,91,1168,842,
0.0328,73,1098,92,1174,843,
0.0329,73,1099,93,1177,848,
0.033,74,1104,93,1180,849,
0.0331,74,1107,93,1185,851,
0.0332,74,1111,93,1187,855,
0.0333,74,1112,94,1191,859,
0.0334,74,1116,94,1195,861,
0.0335,74,1118,94,1201,863,
0.0336,74,1123,94,1205,864,
0.0337,74,1127,95,1209,865,
0.0338,74,1133,95,1212,866,
0.0339,75,1136,95,1217,867,
0.034,76,1140,95,1219,870,
0.0341,77,1141,95,1226,871,
0.0342,77,1142,95,1231,875,
0.0343,77,1147,95,1235,876,
0.0344,77,1152,95,1240,876,
0.0345,78,1157,95,1243,877,
0.0346,79,1159,95,1249,878,
0.0347,79,1161,95,1253,882,
0.0348,79,1162,96,1256,887,
0.0349,79,1166,96,1260,889,
0.035,79,1170,96,1262,893,
0.0351,79,1172,98,1265,896,
0.0352,79,1175,98,1270,898,
0.0353,79,1177,98,1274,902,
0.0354,79,1181,98,1277,905,
0.0355,79,1185,98,1281,907,
0.0356,79,1187,99,1287,908,
0.0357,79,1192,99,1289,911,
0.0358,80,1196,99,1291,914,
0.0359,80,1198,100,1295,917,
0.036,80,1203,100,1298,919,
0.0361,80,1205,100,1305,920,
0.0362,80,1209,100,1308,923,
0.0363,81,1214,100,1311,924,
0.0364,82,1215,100,1314,929,
0.0365,82,1221,100,1317,930,
0.0366,82,1225,100,1321,932,
0.0367,82,1229,100,1325,934,
0.0368,82,1232,100,1331,935,
0.0369,82,1235,101,1335,937,
0.037,83,1239,101,1337,940,
0.0371,83,1241,101,1343,942,
0.0372,83,1242,101,1347,947,
0.0373,83,1245,101,1353,948,
0.0374,83,1247,102,1356,952,
0.0375,83,1251,102,1359,955,
0.0376,83,1252,102,1365,958,
0.0377,83,1252,102,1370,963,
0.0378,83,1255,102,1375,965,
0.0379,83,1260,102,1378,967,
0.038,83,1265,102,1380,970,
0.0381,85,1269,102,1381,973,
0.0382,85,1273,102,1384,976,
0.0383,85,1277,103,1388,977,
0.0384,85,1278,103,1394,980,
0.0385,85,1281,103,1399,982,
0.0386,85,1282,103,1405,985,
0.0387,85,1286,103,1407,989,
0.0388,85,1289,103,1409,994,
0.0389,85,1293,103,1414,995,
0.039,85,1297,104,1417,997,
0.0391,86,1299,104,1421,1000,
0.0392,86,1304,104,1424,1002,
0.0393,86,1309,104,1425,1006,
0.0394,86,1312,104,1429,1009,
0.0395,87,1316,104,1433,1010,
0.0396,87,1321,104,1438,1010,
0.0397,87,1324,104,1443,1012,
0.0398,87,1328,104,1447,1014,
0.0399,87,1330,105,1452,1016,
0.04,87,1336,105,1455,1017,
0.0401,87,1338,105,1462,1018,
0.0402,88,1339,105,1465,1023,
0.0403,88,1342,105,1470,1025,
0.0404,89,1345,105,1473,1028,
0.0405,90,1350,105,1475,1030,
0.0406,91,1354,105,1478,1032,
0.0407,91,1357,105,1482,1035,
0.0408,91,1359,105,1488,1037,
0.0409,94,1363,105,1491,1037,
